series,iso3,window_start,window_end,first_value,last_value,abs_change,pct_change,annual_change,relative_annual_change,n_obs,r_squared,classification,confidence,comparison_year,rank,of_n,percentile,regional_median,gap_to_median,target_value,target_source,projected_2030,required_annual_change,gap_to_target,year_target_met,status,rationale,computed_at
SH_STA_MORT,HND,2015,2023,57.10412,46.74992,-10.354199999999999,-18.132141778911922,0.2476848333333334,0.4389605962809828,9,0.002964103856952609,stagnating,low,2023,9,19,55.6,51.44545,-4.695529999999998,70.0,absolute,48.48371383333334,3.3214399999999995,-23.250079999999997,2015,target_achieved,"Honduras's maternal mortality ratio fell from 57.1 in 2015 to 46.7 in 2023; the fitted trend since 2015 is +0.25 per year, classified as stagnating. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,MEX,2015,2023,43.15536,42.10605,-1.0493099999999984,-2.431470853214985,2.3339091666666674,4.464379059789324,9,0.09958937756377859,declining,low,2023,8,19,61.1,51.44545,-9.339399999999998,70.0,absolute,58.44341416666667,3.9848499999999993,-27.893949999999997,2015,target_achieved,"Mexico's maternal mortality ratio fell from 43.2 in 2015 to 42.1 in 2023; the fitted trend since 2015 is +2.33 per year, classified as declining. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,NIC,2015,2023,80.67301,60.3484,-20.324610000000007,-25.19381637055566,-0.09856233333333388,-0.12707516704114089,9,0.0001950925952711571,stagnating,low,2023,14,19,27.8,51.44545,8.902949999999997,70.0,absolute,59.65846366666666,1.3788000000000002,-9.651600000000002,2018,target_achieved,"Nicaragua's maternal mortality ratio fell from 80.7 in 2015 to 60.3 in 2023; the fitted trend since 2015 is -0.10 per year, classified as stagnating. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,PAN,2015,2023,48.08212,37.00633,-11.075790000000005,-23.035153192080557,-0.12351183333333385,-0.2549409601608469,9,0.0008558789853903984,stagnating,low,2023,6,19,72.2,51.44545,-14.439120000000003,70.0,absolute,36.14174716666666,4.713381428571429,-32.99367,2015,target_achieved,"Panama's maternal mortality ratio fell from 48.1 in 2015 to 37.0 in 2023; the fitted trend since 2015 is -0.12 per year, classified as stagnating. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,PER,2015,2023,71.46575,51.44545,-20.0203,-28.01383879690621,1.8968493333333334,2.503983105858034,9,0.039866762675809624,declining,low,2023,10,19,50.0,51.44545,0.0,70.0,absolute,64.72339533333333,2.6506499999999997,-18.55455,2016,target_achieved,"Peru's maternal mortality ratio fell from 71.5 in 2015 to 51.4 in 2023; the fitted trend since 2015 is +1.90 per year, classified as declining. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,PRY,2015,2023,63.68524,58.27149,-5.41375,-8.500792334299126,3.4430881666666675,4.83019886077439,9,0.12564922190124653,declining,low,2023,12,19,38.9,51.44545,6.826039999999999,70.0,absolute,82.37310716666667,1.6755014285714285,-11.72851,2015,target_achieved,"Paraguay's maternal mortality ratio fell from 63.7 in 2015 to 58.3 in 2023; the fitted trend since 2015 is +3.44 per year, classified as declining. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,SLV,2015,2023,42.94738,39.10834,-3.8390400000000042,-8.938938766462597,0.08546116666666612,0.19339728543959764,9,0.0014934095517938307,stagnating,low,2023,7,19,66.7,51.44545,-12.337110000000003,70.0,absolute,39.70656816666666,4.413094285714286,-30.89166,2015,target_achieved,"El Salvador's maternal mortality ratio fell from 42.9 in 2015 to 39.1 in 2023; the fitted trend since 2015 is +0.09 per year, classified as stagnating. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,URY,2015,2023,15.97752,15.30536,-0.6721599999999999,-4.2069107095469125,1.2972653333333333,6.327068037104705,9,0.1046478945261337,declining,low,2023,2,19,94.4,51.44545,-36.14009,70.0,absolute,24.386217333333335,7.81352,-54.69464,2015,target_achieved,"Uruguay's maternal mortality ratio fell from 16.0 in 2015 to 15.3 in 2023; the fitted trend since 2015 is +1.30 per year, classified as declining. It is already below the SDG target of 70.0 per 100,000 live births.",2026-09-10T19:30:38+00:00
SH_STA_MORT,VEN,2015,2023,136.26322,226.6855,90.42228,66.35853754226562,10.756684166666666,5.369494885931892,9,0.7523260925227458,declining,medium,2023,19,19,0.0,51.44545,175.24005,70.0,absolute,301.98228916666665,-22.383642857142856,156.6855,,off_track,"Venezuela's maternal mortality ratio rose from 136.3 in 2015 to 226.7 in 2023; the fitted trend since 2015 is +10.76 per year, classified as declining. At this pace it would reach 302.0 by 2030, missing the target of 70.0 per 100,000 live births; meeting it would require -22.38 per year.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,ARG,2015,2023,99.6,99.3,-0.29999999999999716,-0.3012048192771056,0.19333333333333277,0.19601216627238874,9,0.08482097831568311,stagnating,low,2022,5,16,73.3,97.3,2.0,,,,,,,no_numeric_target,"Argentina's skilled birth attendance fell from 99.6 in 2015 to 99.3 in 2023; the fitted trend since 2015 is +0.19 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 5 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,BOL,2015,2024,87.5,97.5,10.0,11.428571428571429,0.646060606060606,0.7498382150192735,10,0.04467417177781937,improving,low,2022,16,16,0.0,97.3,-25.799999999999997,,,,,,,no_numeric_target,"Bolivia's skilled birth attendance rose from 87.5 in 2015 to 97.5 in 2024; the fitted trend since 2015 is +0.65 per year, classified as improving. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 16 of 16 countries in the region, below the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,BRA,2015,2024,98.2,98.4,0.20000000000000284,0.20366598778004363,-0.01636363636363604,-0.016621265986425635,10,0.06052303860522896,stagnating,low,2022,7,16,60.0,97.3,1.0,,,,,,,no_numeric_target,"Brazil's skilled birth attendance rose from 98.2 in 2015 to 98.4 in 2024; the fitted trend since 2015 is -0.02 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 7 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
